GT NN eV BPFA SSS ITKrMM FS3D wKSVD
1195.0 1079.6904772826215 547.1559991550446 1060.711132007521 1078.908033059143 1060.4091241407525 1069.1583464102291 1062.8064286652052
1137.0 1059.2460024536583 547.4799991559983 1038.0555701662536 1057.1503922733855 1036.6097033860135 1046.2733104369183 1039.8537892514373
1030.0 1036.2870409876095 547.8039991569519 1020.789852348188 1037.5942758978915 1018.2389939540737 1028.9009895248196 1022.6813378126374
1037.0 1021.4859772711924 548.1279991579056 1007.2988604712847 1023.2095804791223 1004.1496359256964 1015.1863067272433 1009.1716119881696
972.0 1007.5359011977532 548.4519991588593 995.8099709560721 1009.8728762183808 991.9540050119004 1003.1105025709121 997.2593963135441
939.0 1000.556253115007 548.775999159813 990.1835381573746 1003.18501071594 985.5429606787532 997.3019792498953 991.3151771651458
867.0 996.4875516734643 549.0999991607666 990.8546518064226 999.5415817005853 985.4848773523431 997.3714649423385 991.3784684803423
1041.0 1001.5532312454143 549.4239991617203 988.9410349824843 997.5646522588198 982.5938274175975 994.1471065480645 988.3555818279403
1038.0 1007.5758083681944 549.747999162674 994.8671623329951 1002.1497701775038 988.7031012891498 999.9333787083752 993.930960740677
988.0 1017.6333144650106 550.0719991636277 1003.2930186393404 1009.2651702212837 997.2954669664545 1007.906806032476 1001.9573190846659
948.0 1028.7923732654338 550.3959991645813 1016.1071351270402 1020.9603174033507 1010.178470212197 1020.4679645583117 1014.4756179082663
959.0 1047.6030543412362 550.719999165535 1024.2842554699678 1031.8273441711688 1019.5158566391286 1028.025142923448 1022.2818788366865
882.0 1060.5330494437903 551.0439991664887 1033.1987230618133 1041.7795192303865 1028.6188584267823 1036.8588606133364 1030.980022477809
1002.0 1076.0042962702064 551.3679991674423 1040.8811439001086 1050.9160125843316 1036.8598544568913 1043.7573644077643 1038.1794646417668
948.0 1080.2374800029072 551.691999168396 1046.1460595007504 1054.915929660917 1042.039327533073 1048.931449359339 1043.030316475693
989.0 1088.3024544816267 552.0159991693497 1050.5860600612104 1060.8541321560378 1047.2422473357444 1053.6365304453832 1047.4299182234995
1048.0 1099.0625522222285 552.3399991703034 1055.576941912079 1067.8835006771571 1052.525934361265 1058.3958347388448 1052.4926996540557
1076.0 1100.336440649319 552.663999171257 1057.1099832499785 1069.7395908981086 1053.6634261605695 1059.5776652635586 1053.6929101307426
1034.0 1102.5038226445251 552.9879991722107 1058.3816438207782 1070.8679129854663 1055.1475585191572 1060.8511341459698 1054.9510981632789
1071.0 1107.2295032147981 553.3119991731644 1062.201395370222 1075.8172529035035 1059.85544656367 1065.447419681985 1059.1980527047294
1082.0 1106.5285169825318 553.6359991741181 1063.9085235175867 1076.5878289815585 1061.5798136882522 1067.3639934863052 1061.0866243151897
987.0 1110.0329912799307 553.9599991750717 1064.6975079291444 1078.8153009973464 1063.0807035549765 1068.3740447925952 1062.1187269505185
1036.0 1110.867122328548 554.2839991760254 1068.2459829035313 1080.361368504726 1066.5652014208642 1071.5869191449892 1065.2614734387942
1019.0 1113.4271979711864 554.6079991769791 1067.595615778576 1081.7305043695617 1066.6746568806207 1071.0023564391413 1064.807393111297
