x   y   c
0.5623413252 562.3413251903 0.0000000000
0.5623413252 1000.0000000000 0.0000000000
1.0000000000 0.0000100000 -2.6120905088
1.0000000000 0.0000177828 -2.6120937542
1.0000000000 0.0000316228 -2.6120995252
1.0000000000 0.0000562341 -2.6121097864
1.0000000000 0.0001000000 -2.6121280300
1.0000000000 0.0001778279 -2.6121604602
1.0000000000 0.0003162278 -2.6122180925
1.0000000000 0.0005623413 -2.6123204595
1.0000000000 0.0010000000 -2.6125021192
1.0000000000 0.0017782794 -2.6128239650
1.0000000000 0.0031622777 -2.6133925044
1.0000000000 0.0056234133 -2.9535330234
1.0000000000 0.0100000000 -2.9572890074
1.0000000000 0.0177827941 -2.9636188646
1.0000000000 0.0316227766 -2.9786492067
1.0000000000 0.0562341325 -2.8976171099
1.0000000000 0.1000000000 -3.0030719320
1.0000000000 0.1778279410 -2.7697136800
1.0000000000 0.3162277660 -2.7757410474
1.0000000000 0.5623413252 -2.9712118709
1.0000000000 1.0000000000 -2.8826683041
1.0000000000 1.7782794100 -2.7177567331
1.0000000000 3.1622776602 -2.1357794445
1.0000000000 5.6234132519 -2.0029165277
1.0000000000 10.0000000000 -2.0296462510
1.0000000000 17.7827941004 -1.2880285572
1.0000000000 31.6227766017 -0.8853637995
1.0000000000 56.2341325190 -0.4448405877
1.0000000000 100.0000000000 -0.1201037327
1.0000000000 177.8279410039 -0.0240632243
1.0000000000 316.2277660168 0.0000000000
1.0000000000 562.3413251903 0.0000000000
1.0000000000 1000.0000000000 0.0000000000
1.7782794100 0.0000100000 -2.8073991190
1.7782794100 0.0000177828 -2.8074017270
1.7782794100 0.0000316228 -2.8074063642
1.7782794100 0.0000562341 -2.8074146086
1.7782794100 0.0001000000 -2.8074292643
1.7782794100 0.0001778279 -2.8074553093
1.7782794100 0.0003162278 -2.8075015710
1.7782794100 0.0005623413 -2.8075836678
1.7782794100 0.0010000000 -2.8077291210
1.7782794100 0.0017782794 -2.8079860651
1.7782794100 0.0031622777 -2.8084375061
1.7782794100 0.0056234133 -2.8092226142
1.7782794100 0.0100000000 -2.8105608331
1.7782794100 0.0177827941 -1.8923382627
1.7782794100 0.0316227766 -2.8278406151
1.7782794100 0.0562341325 -2.8334386382
1.7782794100 0.1000000000 -2.7351989571
1.7782794100 0.1778279410 -2.7436884546
1.7782794100 0.3162277660 -2.8453176988
1.7782794100 0.5623413252 -1.9935095739
1.7782794100 1.0000000000 -2.3850420711
1.7782794100 1.7782794100 -2.2757831332
1.7782794100 3.1622776602 -2.3285307425
1.7782794100 5.6234132519 -2.0418235800
1.7782794100 10.0000000000 -1.5651161072
1.7782794100 17.7827941004 -1.3526205743
1.7782794100 31.6227766017 -0.9628542384
1.7782794100 56.2341325190 -0.5069354753
1.7782794100 100.0000000000 -0.1199142182
1.7782794100 177.8279410039 -0.0159255878
1.7782794100 316.2277660168 0.0000000000
1.7782794100 562.3413251903 0.0000000000
1.7782794100 1000.0000000000 0.0000000000
3.1622776602 0.0000100000 -2.6748773775
3.1622776602 0.0000177828 -2.6748784996
